disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
1,Ebola,Genetic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Klebsiella pneumoniae,Dengue
2,Meningitis,Parasitic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Staphylococcus aureus,Herpes simplex
3,Hypertension,Genetic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Clostridium tetani,Cytomegalovirus
4,Zika,Metabolic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Shigella dysenteriae,Hepatitis B
5,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Yersinia pestis,Zika
6,Ebola,Genetic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Vibrio cholerae,SARS-CoV-2
7,Dengue,Parasitic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Vibrio cholerae,Zika
8,Pneumonia,Viral,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Bacillus anthracis,Mumps
9,Cholera,Metabolic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Shigella dysenteriae,Mumps
10,COVID-19,Viral,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Yersinia pestis,Epstein-Barr
11,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Salmonella enterica,Rabies
12,Hypertension,Genetic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Salmonella enterica,Ebola
13,COVID-19,Metabolic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Pseudomonas aeruginosa,Influenza
14,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Yersinia pestis,Rabies
15,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Salmonella enterica,Marburg
16,Rabies,Genetic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Borrelia burgdorferi,SARS-CoV-2
17,COVID-19,Bacterial,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Treponema pallidum,Varicella-zoster
18,Influenza,Viral,A disease affecting humans. Further research may be required for specific details about Influenza.,"could, population, movement, management, trial","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Proteus mirabilis,Cytomegalovirus
19,Dengue,Viral,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Enterococcus faecalis,Varicella-zoster
20,Hepatitis B,Bacterial,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Salmonella enterica,SARS-CoV-2
21,Cholera,Viral,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Mycobacterium tuberculosis,Rotavirus
22,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Staphylococcus aureus,Epstein-Barr
23,Zika,Genetic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Clostridium tetani,HIV
24,Measles,Bacterial,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Staphylococcus aureus,Zika
25,HIV/AIDS,Bacterial,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Proteus mirabilis,SARS-CoV-2
26,Rabies,Viral,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Bacillus anthracis,Rotavirus
27,Polio,Parasitic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Shigella dysenteriae,Polio
28,Diabetes Mellitus,Parasitic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Pseudomonas aeruginosa,SARS-CoV-2
29,Dengue,Parasitic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Treponema pallidum,Mumps
30,COVID-19,Metabolic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Listeria monocytogenes,Marburg
